	division	esr	region	express	source	iso3166	osm_id	lat	lon	name	station_type_en	railway
17780	Пензенское	634799	Пензенская область		penz	RU-PNZ				КУЗНЕЦК САИПС		Куйбышевская
17781	Пензенское	634801	Пензенская область	2024590.0	penz	RU-PNZ	300143031.0	53.11183929	46.60050583	Кузнецк	station	Куйбышевская
17782	Самарское	634816	Пензенская область	2026039.0	penz	RU-PNZ	2034938976.0	53.09964752	46.76531219	Огольцовка	station	Куйбышевская
17783		634820	Пензенская область	2026038.0	penz	RU-PNZ				837 км		Куйбышевская
17784	Самарское	634835	Пензенская область	2026040.0	penz	RU-PNZ				841 км		Куйбышевская
17785	Самарское	634905	Пензенская область	2024592.0	penz	RU-PNZ	2011491577.0	53.10626984	46.8370285	Евлашево	station	Куйбышевская
17786	Самарское	634911	Ульяновская область	2024125.0	ulyan	RU-ULY	7170381015.0	53.1289444	46.96270752	Курмаевка	halt	Куйбышевская
17787	Самарское	634924	Пензенская область	2026041.0	penz	RU-PNZ				850 км		Куйбышевская
17788	Самарское	634939	Ульяновская область	2026042.0	ulyan	RU-ULY	5223725018.0	53.14427567	47.02072906	859 км	halt	Куйбышевская
17789	Самарское	635017	Ульяновская область	2024126.0	ulyan	RU-ULY	2626031787.0	53.11889267	47.11655807	Каранголь	halt	Куйбышевская
17790	Самарское	635024	Ульяновская область	2024593.0	ulyan	RU-ULY	300144255.0	53.15123749	47.05286026	Никулино	station	Куйбышевская
17791	Самарское	635109	Ульяновская область	2024594.0	ulyan	RU-ULY	2626031788.0	53.12381363	47.20652008	Ключики	station	Куйбышевская
17792	Самарское	635113	Ульяновская область	2024127.0	ulyan	RU-ULY	300144218.0	53.13640976	47.30955505	Саевка	halt	Куйбышевская
17793	Самарское	635128	Ульяновская область	2024595.0	ulyan	RU-ULY	188487637.0	53.1348381	47.40851974	Прасковьино	station	Куйбышевская
17794	Самарское	635132	Ульяновская область	2026043.0	ulyan	RU-ULY				879 км		Куйбышевская
17795	Самарское	635217	Ульяновская область	2025810.0	ulyan	RU-ULY	2339241689.0	53.15161896	47.59828568	Свирино	halt	Куйбышевская
17796	Самарское	635221	Ульяновская область	2024128.0	ulyan	RU-ULY	2339241688.0	53.14528656	47.65317917	Садовый	halt	Куйбышевская
17797	Самарское	635236	Ульяновская область	2024804.0	ulyan	RU-ULY	115785395.0	53.15288544	47.54273605	Канадей	station	Куйбышевская
17798	Самарское	635306	Ульяновская область	2024596.0	ulyan	RU-ULY	8337646257.0	53.15349197	47.75047684	Новоспасское	station	Куйбышевская
17799	Самарское	635310	Ульяновская область	2024597.0	ulyan	RU-ULY	5060496327.0	53.16680908	47.87325287	Коптевка	station	Куйбышевская
17800	Самарское	635325	Ульяновская область	2024129.0	ulyan	RU-ULY	2625797624.0	53.17133713	47.91356277	924 км	halt	Куйбышевская
17801	Самарское	635325	Ульяновская область	2024129.0	ulyan	RU-ULY	3054520920.0	53.17139053	47.91376877	924 км	halt	Куйбышевская
17802	Самарское	635336	Ульяновская область	2024130.0	ulyan	RU-ULY	300141451.0	53.17240143	47.95434189	Рощица	halt	Куйбышевская
17803	Самарское	635344	Ульяновская область	2024131.0	ulyan	RU-ULY	2339180826.0	53.17438126	48.00034714	Рощица Новая	halt	Куйбышевская
17804	Самарское	635344	Ульяновская область	2024131.0	ulyan	RU-ULY	206023472.0	53.17433929	48.00037003	Рощица Новая	halt	Куйбышевская
17805	Самарское	635359	Ульяновская область	2024132.0	ulyan	RU-ULY	2339156309.0	53.17099762	48.09612656	936 км	halt	Куйбышевская
17806	Самарское	635359	Ульяновская область	2024132.0	ulyan	RU-ULY	2339166954.0	53.17104721	48.09555054	936 км	halt	Куйбышевская
17807	Самарское	635363	Ульяновская область	2026044.0	ulyan	RU-ULY				917 км		Куйбышевская
17808	Самарское	635378	Ульяновская область	2024598.0	ulyan	RU-ULY	2339166810.0	53.17022705	48.13336945	Репьёвка	station	Куйбышевская
17809	Самарское	635402	Ульяновская область		ulyan	RU-ULY				Репьевка		Куйбышевская
17810	Самарское	635414	Самарская область	2024133.0	samar	RU-SAM	2339161447.0	53.16902161	48.19113922	943 км	halt	Куйбышевская
17811	Самарское	635429	Самарская область	2024134.0	samar	RU-SAM				Розадей		Куйбышевская
17812	Самарское	635433	Самарская область	2024135.0	samar	RU-SAM	2338573111.0	53.16369247	48.30044556	950 км	halt	Куйбышевская
17813	Самарское	635448	Самарская область	2024599.0	samar	RU-SAM	1050325115.0	53.16119385	48.35952759	Новообразцовое	station	Куйбышевская
17814		635452	Самарская область	2024227.0	samar	RU-SAM	2339073925.0	53.16630554	48.26905823	948 км	halt	Куйбышевская
17815	Самарское	635503	Самарская область	2024601.0	samar	RU-SAM	1050324848.0	53.16756821	48.43863297	Сызрань-2	station	Куйбышевская
17816	Самарское	635518	Самарская область	2026045.0	samar	RU-SAM				961 км		Куйбышевская
17817	Самарское	635607	Самарская область	2024610.0	samar	RU-SAM	4796622382.0	53.1701889	48.48204803	Сызрань 1	station	Куйбышевская
17818	Самарское	635611	Самарская область	2024136.0	samar	RU-SAM	1050221683.0	53.17487335	48.53691483	966 км	halt	Куйбышевская
17819	Самарское	635626	Самарская область	2024137.0	samar	RU-SAM	1429101401.0	53.15673065	48.60392761	Октябрьск-Пристань	halt	Куйбышевская
17820	Самарское	635630	Самарская область	2024927.0	samar	RU-SAM	729313398.0	53.20047379	48.64852524	№ 1	station	Куйбышевская
17821	Самарское	635645	Самарская область	2024928.0	samar	RU-SAM	729313330.0	53.22967529	48.74004364	№ 2	station	Куйбышевская
17822	Самарское	635655	Самарская область	2024929.0	samar	RU-SAM	729313346.0	53.22254944	48.86334991	№ 3	station	Куйбышевская
17823	Самарское	635664	Самарская область	2024919.0	samar	RU-SAM	206027923.0	53.25141144	48.99653244	Печёрский Берег	halt	Куйбышевская
17824	Самарское	635679	Самарская область		samar	RU-SAM				49 км		Куйбышевская
17825	Самарское	635683	Самарская область	2025873.0	samar	RU-SAM	729273538.0	53.26903152	49.12182236	52 км	halt	Куйбышевская
17826	Самарское	635698	Самарская область	2025871.0	samar	RU-SAM	4747177881.0	53.21643066	48.78136826	25 км	halt	Куйбышевская
17827	Самарское	635715	Самарская область	2026046.0	samar	RU-SAM				964 км		Куйбышевская
17829	Самарское	635721	Самарская область	2026047.0	samar	RU-SAM	3206424881.0	53.17501068	48.52267838	965 км	halt	Куйбышевская
17830	Самарское	635734	Самарская область	2026050.0	samar	RU-SAM				Локомотивная		Куйбышевская
17831	Самарское	635749	Самарская область	2026049.0	samar	RU-SAM	733997877.0	53.15494156	48.62783432	Путейская	halt	Куйбышевская
17832	Самарское	635880	Самарская область	2026048.0	samar	RU-SAM				967 км		Куйбышевская
17833		635908								Рябина (рзд)		
17834	Самарское	635912	Ульяновская область	2024026.0	ulyan	RU-ULY				30 км		Куйбышевская
17835	Самарское	635927	Ульяновская область	2025759.0	ulyan	RU-ULY				40 км		Куйбышевская
17836	Самарское	635931	Ульяновская область	2024637.0	ulyan	RU-ULY	2624759268.0	52.83464432	48.25456238	Громово	halt	Куйбышевская
17837	Самарское	635946	Ульяновская область	2024795.0	ulyan	RU-ULY	206024950.0	52.91359711	48.31056595	Рябина	station	Куйбышевская
17838	Самарское	635950	Ульяновская область		ulyan	RU-ULY				ГРОМОВО САИПС		Куйбышевская
17839	Самарское	636012	Ульяновская область	2024025.0	ulyan	RU-ULY				22 км		Куйбышевская
17840	Самарское	636027	Ульяновская область	2024024.0	ulyan	RU-ULY				17 км		Куйбышевская
17841	Самарское	636031	Самарская область	2025758.0	samar	RU-SAM				15 км		Куйбышевская
17842	Самарское	636046	Ульяновская область	2024636.0	ulyan	RU-ULY	2625896420.0	52.98100662	48.34077835	Кубра	halt	Куйбышевская
17843	Самарское	636101	Самарская область	2024635.0	samar	RU-SAM	1055349276.0	53.06254578	48.40910721	Кашпир	station	Куйбышевская
17844	Самарское	636116	Ульяновская область	2025757.0	ulyan	RU-ULY				12 км		Куйбышевская
17845	Самарское	636120	Самарская область	2024896.0	samar	RU-SAM	206025297.0	53.13083267	48.43851852	Засызранский	station	Куйбышевская
17846	Самарское	636135	Самарская область	2025836.0	samar	RU-SAM				11 км		Куйбышевская
17847	Самарское	636154	Самарская область	2025835.0	samar	RU-SAM				9 км		Куйбышевская
17848	Самарское	636169	Самарская область	2025834.0	samar	RU-SAM				7 км		Куйбышевская
17849	Самарское	636173	Самарская область		samar	RU-SAM				4 км		Куйбышевская
17850	Самарское	636188	Самарская область	2025755.0	samar	RU-SAM				149 км		Куйбышевская
17851	Самарское	636192	Самарская область	2025756.0	samar	RU-SAM	4540012025.0	53.16971588	48.50185776	Сызрань-Южная	station	Куйбышевская
17852	Самарское	636205	Самарская область	2024602.0	samar	RU-SAM	4074554107.0	53.15032578	48.47475815	Сызрань-Город	station	Куйбышевская
17853	Самарское	636309	Самарская область		samar	RU-SAM				Сызрань-Город (перев.)		Куйбышевская
17854	Самарское	636506	Самарская область		samar	RU-SAM	206028472.0	53.26573563	49.140728	Переволоки	station	Куйбышевская
17855	Самарское	636510	Самарская область	2025954.0	samar	RU-SAM	206028780.0	53.26689529	49.26327896	Услада	station	Куйбышевская
17856	Самарское	636525	Самарская область	2024947.0	samar	RU-SAM	206028819.0	53.28956223	49.33343506	Рязанский	halt	Куйбышевская
17857	Самарское	636531	Самарская область	2024950.0	samar	RU-SAM	206029337.0	53.3241539	49.41278458	Снежные Валы	station	Куйбышевская
17858	Самарское	636544	Самарская область	2025877.0	samar	RU-SAM				80 км		Куйбышевская
17859	Самарское	636559	Самарская область	2025874.0	samar	RU-SAM	729273522.0	53.25860596	49.15633774	55 км	halt	Куйбышевская
17860	Самарское	636563	Самарская область	2025875.0	samar	RU-SAM	206028479.0	53.25405502	49.18413925	57 км	halt	Куйбышевская
17861	Самарское	636578	Самарская область	2025876.0	samar	RU-SAM	206028745.0	53.26028442	49.22452927	60 км	halt	Куйбышевская
17862	Самарское	636582	Самарская область	2024918.0	samar	RU-SAM	206028472.0	53.26573563	49.140728	Переволоки	station	Куйбышевская
17863	Самарское	636608	Самарская область	2024792.0	samar	RU-SAM	258050799.0	53.35205841	49.4803772	Отвага	station	Куйбышевская
17864	Самарское	636614	Самарская область	2024116.0	samar	RU-SAM	728305119.0	53.36552048	49.51139832	91 км	halt	Куйбышевская
17865	Самарское	636629	Самарская область	2025881.0	samar	RU-SAM	728305132.0	53.37799454	49.51275635	92 км	halt	Куйбышевская
17866	Самарское	636633	Самарская область	2025879.0	samar	RU-SAM				90 км		Куйбышевская
17867	Самарское	636648	Самарская область	2025878.0	samar	RU-SAM	728305117.0	53.33597565	49.43996048	81 км	halt	Куйбышевская
17868	Самарское	636703	Самарская область	2024785.0	samar	RU-SAM	728305104.0	53.39741135	49.51446152	Жигулевск	station	Куйбышевская
17869	Самарское	636718	Самарская область	2024829.0	samar	RU-SAM	728284229.0	53.40607071	49.49199677	Могутовая	halt	Куйбышевская
17870	Самарское	636737	Самарская область	2025883.0	samar	RU-SAM				104 км		Куйбышевская
17871	Самарское	636807	Самарская область	2024786.0	samar	RU-SAM	2016132280.0	53.47761536	49.52473068	Жигулёвское Море	station	Куйбышевская
17872	Самарское	636811	Самарская область	2025901.0	samar	RU-SAM	728263147.0	53.4731102	49.62345505	Канал	station	Куйбышевская
17873	Самарское	636826	Самарская область	2024920.0	samar	RU-SAM	674505965.0	53.48070526	49.73403168	Пискалы	station	Куйбышевская
17874	Самарское	636830	Самарская область	2025779.0	samar	RU-SAM	206030651.0	53.48429108	49.77806091	125 км	halt	Куйбышевская
17875	Самарское	636900	Самарская область		samar	RU-SAM				Жигулевское Море (перев.)		Куйбышевская
17876	Самарское	637000	Самарская область		samar	RU-SAM				ЖИГУЛЕВСКОЕ МОРЕ ЭКС.		Куйбышевская
17877	Самарское	637104	Самарская область		samar	RU-SAM	1492699613.0	53.52777863	49.47942734	Химическая	station	Куйбышевская
17878	Самарское	637119	Самарская область	2024115.0	samar	RU-SAM	1492699612.0	53.51636124	49.50209045	Отвальный	halt	Куйбышевская
17879	Самарское	637208	Самарская область	2025955.0	samar	RU-SAM	607443444.0	53.54973221	49.48977661	Химзаводская	halt	Куйбышевская
17880	Самарское	637212	Самарская область	2024921.0	samar	RU-SAM	206028866.0	53.57544708	49.39273834	Полевой	halt	Куйбышевская
17881	Самарское	637301	Самарская область	2024810.0	samar	RU-SAM	1039817178.0	53.56622696	49.29517365	Тольятти	station	Куйбышевская
17882	Самарское	637405	Самарская область		samar	RU-SAM				Тольятти-экспорт		Куйбышевская
17883	Самарское	637418	Самарская область	2024914.0	samar	RU-SAM	206031229.0	53.4750061	49.9678421	Мастрюково	station	Куйбышевская
17884	Самарское	637424	Самарская область	2025869.0	samar	RU-SAM	674506207.0	53.47610092	49.91400528	135 км (Имени В.Грушина)	halt	Куйбышевская
17885	Самарское	637439	Самарская область	2025868.0	samar	RU-SAM	206031245.0	53.47869873	50.00056839	141 км	halt	Куйбышевская
17886	Самарское	637443	Самарская область	2024895.0	samar	RU-SAM				Задельная		Куйбышевская
17887	Самарское	637509	Самарская область	2024909.0	samar	RU-SAM	4899809917.0	53.46097183	50.0760231	Курумоч	station	Куйбышевская
17888	Самарское	637513	Самарская область		samar	RU-SAM				3 км		Куйбышевская
17889	Самарское	637528	Самарская область	2024219.0	samar	RU-SAM	596477731.0	53.50927734	50.14043808	Аэропорт Курумоч	station	Куйбышевская
17890	Самарское	637532	Самарская область	2025778.0	samar	RU-SAM	2035017762.0	53.43278503	50.11996078	151 км	halt	Куйбышевская
17891	Самарское	637547	Самарская область	2025777.0	samar	RU-SAM	2034720192.0	53.43838501	50.163517	154 км	halt	Куйбышевская
17892	Самарское	637602	Самарская область	2024615.0	samar	RU-SAM	2021963817.0	53.41990662	50.19602203	Царевщина	station	Куйбышевская
17893	Самарское	637617	Самарская область	2025951.0	samar	RU-SAM	2034720189.0	53.40887451	50.26806641	Старосемейкино	halt	Куйбышевская
17894	Самарское	637621	Самарская область	2025776.0	samar	RU-SAM	2034720193.0	53.38597488	50.32671738	168 км	halt	Куйбышевская
17895		637636	Самарская область	2024228.0	samar	RU-SAM	2021963809.0	53.40371704	50.296978	Сокская	halt	Куйбышевская
17896		637636	Самарская область	2024228.0	samar	RU-SAM	2021963808.0	53.40367126	50.29692841	Сокская	halt	Куйбышевская
17897	Самарское	637706	Самарская область	2024907.0	samar	RU-SAM	1055349280.0	53.38301849	50.17053223	Красная Глинка	halt	Куйбышевская
