from_esr;from_name;to_esr;to_name
18428;ОП Платформа 3 км;18432;ОП Платформа 4 км
18432;ОП Платформа 4 км;18447;ОП Платформа 5 км
18447;ОП Платформа 5 км;18606;Комсомольск-Мурманский
;;;
18606;Комсомольск-Мурманский;18818;ОП Сафоново-Мурманское
18818;ОП Сафоново-Мурманское;19007;Ваенга
;;;
20004;Выборг;20108;Выборг (эксп.)
20004;Выборг;21134;ОП Кархусуо
20004;Выборг;20019;ОП Ост. Пункт 2 км
20004;Выборг;21505;Пригородная
;;;
20019;ОП Ост. Пункт 2 км;21007;Таммисуо
20038;ОП Пальцево;20042;ОП Ост. пункт 12 км
20042;ОП Ост. пункт 12 км;20057;ОП Ост. пункт 13 км
20057;ОП Ост. пункт 13 км;20061;ОП Гвардейское
20061;ОП Гвардейское;20076;ОП Пионерлагерь
20076;ОП Пионерлагерь;20080;ОП Ост. Пункт 21 км
20080;ОП Ост. Пункт 21 км;21609;Возрождение
20108;Выборг (эксп.);23407;Выборг (перев.)
20201;Ермилово;20305;Приморск
20305;Приморск;20310;ОП Бор
20310;ОП Бор;20409;Прибылово
20409;Прибылово;20502;Советский
20502;Советский;20517;Попово
20517;Попово;20625;ОП Щербаково
20517;Попово;20521;ОП Матросово
20521;ОП Матросово;20536;ОП Соколинское
20536;ОП Соколинское;20930;ОП Лазоревка
20606;Высоцк;20706;Высоцк (эксп.)
20625;ОП Щербаково;20606;Высоцк
20706;Высоцк (эксп.);23500;Высоцк (перев.)
20803;Кирилловское;20818;ОП Лейпясуо
20818;ОП Лейпясуо;20907;Гаврилово
20907;Гаврилово;20911;ОП Лебедевка
20911;ОП Лебедевка;20926;ОП Ост. пункт 117 км
20926;ОП Ост. пункт 117 км;21204;Верхнечеркасово
20930;ОП Лазоревка;20004;Выборг
20930;ОП Лазоревка;20004;Выборг
21007;Таммисуо;20038;ОП Пальцево
;;;
21115;ОП Осиновка;21011;Житково
21134;ОП Кархусуо;21115;ОП Осиновка
21204;Верхнечеркасово;20930;ОП Лазоревка
21312;ОП Кравцово;21346;ОП Ост. Пункт 144 км
21327;ОП Ост. Пункт 138 км;21312;ОП Кравцово
21331;Лужайка;28504;Бусловская
21346;ОП Ост. Пункт 144 км;21331;Лужайка
;;;
21505;Пригородная;21327;ОП Ост. Пункт 138 км
21609;Возрождение;21613;ОП Ханнила
21613;ОП Ханнила;21628;ОП Никифоровское
21628;ОП Никифоровское;21632;ОП Ост. Пункт 38 км
21632;ОП Ост. Пункт 38 км;21647;ОП Куорекоски
21647;ОП Куорекоски;21702;Каменногорск
21702;Каменногорск;22122;ОП Ост. Пункт 5 км
;;;
21721;ОП Лениярви;22207;Красный Сокол
21806;Светогорск;21901;Светогорск (эксп.)
21810;ОП Кивиоя;21806;Светогорск
;;;
22007;Лесогорский;21810;ОП Кивиоя
22103;Пруды;22007;Лесогорский
22122;ОП Ост. Пункт 5 км;22103;Пруды
22207;Красный Сокол;22508;Боровинка
22226;ОП Ост. пункт 59 км;21721;ОП Лениярви
22300;Бородинское;22226;ОП Ост. пункт 59 км
22315;ОП Инкиля;22300;Бородинское
22326;ОП Хаколахти;22315;ОП Инкиля
22334;Ояярви;22326;ОП Хаколахти
22349;ОП Пукинниеми;22334;Ояярви
;;;
22404;Хийтола;22419;ОП Хауккаваара
22404;Хийтола;22349;ОП Пукинниеми
22419;ОП Хауккаваара;22423;Алхо
22423;Алхо;23202;Элисенваара
22508;Боровинка;21702;Каменногорск
22616;ОП Лосево;22705;Громово
22620;ОП Ост. Пункт 79 км;22645;ОП Петяярви
22635;ОП Ост. Пункт 78 км;22620;ОП Ост. Пункт 79 км
22645;ОП Петяярви;22654;Лосево I
22654;Лосево I;22616;ОП Лосево
22705;Громово;22711;ОП Суходолье
22711;ОП Суходолье;22813;Отрадное
22813;Отрадное;22921;Мюллюпельто
22917;ОП Синево;23002;Приозерск
22921;Мюллюпельто;22917;ОП Синево
23002;Приозерск;23017;ОП Капеасалми
23017;ОП Капеасалми;23106;Кузнечное
23106;Кузнечное;23144;ОП Ост. пункт 152 км
23110;ОП Ост. Пункт 168 км;22404;Хийтола
23144;ОП Ост. пункт 152 км;23110;ОП Ост. Пункт 168 км
23202;Элисенваара;23214;ОП Аккахарью
23202;Элисенваара;23233;ОП Ост. Пункт 3 км
23214;ОП Аккахарью;23229;ОП Ихала
23229;ОП Ихала;23604;Яккима
23233;ОП Ост. Пункт 3 км;23248;ОП Сорйо
23248;ОП Сорйо;23252;ОП Сювяоро
;;;
;;;
;;;
23604;Яккима;23619;ОП Хухоямяки
23619;ОП Хухоямяки;23623;ОП Куммунйоки
23623;ОП Куммунйоки;23638;ОП Нива
23638;ОП Нива;23642;Куокканиэми
23642;Куокканиэми;23661;ОП Туокслахти
23661;ОП Туокслахти;23708;Сортавала
23708;Сортавала;23801;Хелюля
23801;Хелюля;23816;ОП Рюттю
23816;ОП Рюттю;23905;Кааламо
23905;Кааламо;24005;Маткаселькя
24005;Маткаселькя;25141;ОП Пирттипохья
24005;Маткаселькя;24128;ОП Пяльксаари
24109;Вяртсиля;24202;Вяртсиля (эксп.)
24113;ОП Пялькьярви;24109;Вяртсиля
24128;ОП Пяльксаари;24113;ОП Пялькьярви
;;;
24408;Олонец;49106;Лодейное Поле
24522;ОП Тулокса;24408;Олонец
24594;ОП Видлица;24522;ОП Тулокса
24698;ОП Салми;24594;ОП Видлица
24804;Питкяранта;24698;ОП Салми
24908;Леппясилта;24804;Питкяранта
25008;Ляскеля;24908;Леппясилта
25116;ОП Харлу;25008;Ляскеля
;;;
;;;
25120;Янисъярви;25116;ОП Харлу
25135;ОП Алалампи;25120;Янисъярви
25141;ОП Пирттипохья;25135;ОП Алалампи
25309;Чална-Онежская;25402;Падозеро
25313;ОП Ост. Пункт 509 км;25417;ОП Кутижма
25402;Падозеро;25313;ОП Ост. Пункт 509 км
25417;ОП Кутижма;25421;Сяньга
